,Mama's Buoi
144,"Ambience was delightfull and warm . A place that you guys need to definitely try out. Perfect ambience,live sports screening,smoking area ,indoor seating everything is available here .Must try Sangria,spring roll,peri peri fish tika.Staff was calm and cooperative . Overall perfect place for family and friends."
145,One of the attractions of the foodies is Mama's Buoi. This place is so much peaceful that it will make you remember your mother as suggested by name.
146,A tad bit expensive for the quality of food they provide. But i like the ambience nonetheless. Open area on the top floor is love. Live permances add another charm to the place
147,"Food was great. I am in love with the new York burger, But the service not quite. Staff seemed so uninterested and lost. Will surely visit for the food again. "
148,One of the finest places I have been throughBeautiful AmbiencePerfect place for friends and familyFood seems to be really temptingEvery dish was worth tastingPasta is ultimate
149,"Lovely place with a good ambience and finger licking food. Best was the butter chicken balls, juicy and spicy chicken balls with cheese. Their crispy corn was out of this world! Mini burgers were a little dry. Fish and chips was more oily than necessary. Afghani chicken was upto the mark. Dahi ke kababs were succulent and delicious. For dessert we had death by chocolate sundae which was amazing! In all a great experience"
150,"Went there on a Wednesday evening and it was easy to get a table at this place without prior reservation. We got a sitting on their third floor, they also have a rooftop. We ordered mini bunny chow chicken, tandoori veg platter, chilly cheese sandwich, veg noodles and a few beers. Bunny chow was really amazing and most of the rating goes for it only. Tandoori veg platter had a lot of stuff. It had numerous varieties of soya and paneer along with mushrooms and seekh kebab. Paneer was a bit too rigid. Although kebab and mushrooms were tasty. Chilly cheese sandwich was pretty basic and dry and could have been way better. Although the fries served on the side were pretty crisp and tasty....read more"
151,"Our exams were over and we needed a place to crash, so we went to this place in GTB Nagar, which I had heard from my friends, is pretty awesome😍We ordered:1. DrinksDirty DoubleSwiss LindtCoffee and TobleroneCollege Virgin Mojito2. DishesChicken with Cheese QuisedillaCornitosHot and CrispyNon Veg LasagnaDrinks were my favorite partttt❤Quisedilla was so yummmmm❤Try out this cafe guys✨"
152,"It's been amazing time here, food was good, mocktails we're good and so the ambience with latest Punjabi songs in the background and the staff was also very cooperative. Would look forward to try more dishes. Overall experience of Mama's boui was quite awesome."
153,"The food was quite okay, ambience was no doubt very great and amazing . I loved there white sauce pasta, and mojitos and desert. Pizza and steamed momos were saviour. "
154,"We went to mama's buoi to try out their huge eco friendly menu, located on third floor the place has got some nice ambience with dim lighting.The music in the background keeps one going and they serve sheesha as well.Coming down to food, started off with achari paneer tikka which was really good we loved the spices infused in each paneer cube, it was followed by veg seekh kebab which was again a delicious treat . Meanwhile for the drinks we had the chocolate trouble which was basically brownie shake and mama's sangria which had tiny apple cubes with mixture of juices , it was really good.For the mains we had their 4 cheese pizza it was delicious with thin crust and oodles of...read more"
155,"Gtb nagar has become a hub for pocket friendly joints and thats how we came here- to try this place.Their menu is extensive and quite reasonable.We ordered :1. Achari paneer tikka : this was delicious !Loved the flavours and quantity.2. Veg seekh kebab: really good, a must try dish here.3. Quattro formaggi pizza : we loved this pizza, right amount of 4 cheese. Really well baked.4. In shakes, i tried chocolate toblerone which was really good.5. Last but not the least, i tried death by chocolate : a giant scoop of ice cream, chocolate sauce and brownie. Worth every penny !Overall service was good and quantity served in each portion is sufficient for two. "
156,"Firstly food was quite a treat to toung, mocktails were tasty and the ambience is too good, cozy and comfortable. Punjabi songs in the background was cherry on the cake. Would look forward to try more dishes."
157,"Our very first visit at this restaurant. And we loved our experience ❤️My 2 other friends and me visited this restaurant yesterday and had a lot of fun there. We ate many dishes, drank many mocktails and clicked a lot of photos cause this restaurant is worth clicking photos. Ambience is super amazing and the rooftop area where we were served was the best area. Big Buddy Chicken Burger was the best for me 😍 it was loaded with veggies and cheese.Loved the food, everything was delicious and nicely presented.Would definitely visit this restaurant again."
158,Mama's buoi can be rated 3 in terms of food but in terms of interior and service its pathetic. The fabric of sofas are unhygenic it seems like someone spilled drink on it or puked. Idk the management is not looking forward to this issue strictly. And again goin to the services its the worstest in the townWaiters here don't give a damn if u are even struggling to push a chair.. They will only run to u if u want to order something othrvise will not come for the help. Still rating 3 for food if i could give rating on the basis of looks services it would be on minus digit.Clicked few pictures of the food on my tableVeggies salt and pepperVeg platterWatermelon and virgin mojitoSex on the...read more
