,The Chatter House
123,"If you are looking for a place to chill with your friends, this place should be on your list. Totally loved the interiors, they have indoor and outdoor seating. Must try chocolate shake, cold coffee, don’t miss the woodfire pizza, cheesy fries, non veg platter, for mains you can have chicken tikka Masala, I ended my meal with chocolate brownie and ice cream it was just yum Had a fabulous time :) "
124,"I visited Chatter House with my friends and the first and foremost thing that managed to impress me was the retro music themed interior design and elegant ambience. to start the meal off we ordered buff and falafel burgers, both of which were worth drooling over. we also got cheese and meat platter which was an excellent appetizer. for drinks we got ourselves indie cola and apple rosemary iced tea and they were extremely refreshing and chilling. for dessert we got chatter dome, it had a good balance of whipped cream and Belgian chocolate which was extremely pleasing and made the meal even more delightful"
125,*** THE CHATTER HOUSE ***I recently visited this place with my friends and firstly I want to admire the ambience of this place which is just amazing.I had:Rajma chawal arincini :- 9/10Cheese platter:-8Veg pizza:-8Almond citrus salad 8/10Blue cheese naan:-8Focaccia pav bhaji:-8Flafal burger:-8Mac n cheese:-10Chatter dome:-10Walnut brownie:-10Fat hooker:-8Roller coster:-8Lemonsosa:-10Bhukkadmeter 8/10For more reviews you can follow me on Instagram@bhukkadbros
126,Yesterday we were at the chatter houseI loved the vibesHad lots of funVery good hospitalityGreat service by the team.Food was hot and well cooked.Cocktails were nice.Shakes were average.Good place to hangout!!If you're near nehru place then u must check it out 😎😈
127,well i must say chatter house is perfect place to be at  i did not expected so good north indian as well as italian everything was of supreme quality and delicous..loved the food totally and loved this place with soft music and pretty ambience.i would love to come again here and enjoy thanks for great hospitality :D i am surely gonna try their khan market branch again id say its amazing and u must visit this place. :D
128,Chatter house is just amazing placeHad great fun at chatter houseFirstly their soft music and dim lights is very catchy theme.Gives u good vibesGood for meetings and corporate get together!They have outside Seating available as well!!Now coming to foodI loved their north indian as well as Italian cuisine everything was perfect!Highly Recommended 
129,"The Chatter house is situated in Nehru place which serves some really good Italian, Mughlai & Indian food.I recently visited the place with my friends and the atmosphere was breathtaking. It was fully crowded. Took us 15 mins to get inTried various kinds of chicken including tandoori chicken, chicken Tikka , chicken malai Tikka, fish along with a pizza & shakes.They have got some customised shakes with epic presentation. Service was quick and the quantity was served in abundant proportions"
130,Chatter house is amazing in food and drinksSpecially their cocktailsMust try rollercoasterDelicious and droolingI visited it with my friends had lovely experience..Would love to visit this again and explore more of their drinks and food menu 😍Recommended 💐
131,Excellent food and there's an option to even book a table outside in the open. The only thing that bugged me was the management team and specially the manager that's on the main counter. His assistant was also not that friendly and overall it was a rude behaviour. 
132,Went to this amazing placeChatter house khan market always have been my favorite and now this is amazing outletI loved the ambianceThey've small outside Seating tooIt looks pretty in nightOverall coming to food experienceI loved their fish tikkas crunchy and spicyFood tasted amazing and great service!Good place to hangout😍
133,Today we were at Epicuria so decided to visit this place..Well I must say food is just amazing here!!!Loved the service n experienceHighly recommended : amritsari kulcha with chole and cocktails 😍Dessert was pretty averageOverall good experience!!Good place for meetings n corporate get togetherShall visit again soon
134,"Visited this place a while back with bunch of my friend and here is a review of my experience.So the place itself is super pretty and it is easily accessible as it is located in epicuria mall under the Nehru place metro station.the place has both outdoor and indoor sitting and believe me it is very pretty.Talking about the staff and service all the food was served hot and fresh and the staff was pretty cooperative and friendly.So we had a bunch of things there that start from the starters.The pav bhaji dehat was Supriya me and also the pizzasin pizza I would really love to recommend the chicken tikka pizza.For drinks, I really like their cold coffee and their freakshakes.The...read more"
135,"I recently visited this place for a quick meal which more or less ended in a feast. The interior is done brilliantly with dim lights and chandelier. Moreover the staff was very quick on their feet and was helpful too. We tried a lot of things that includes cheesy nachos, chicken pizza, chicken platter , a couple of shakes. My experience was totally delightful and the food didn't disappoint me at all. Chicken pizza being the best with a lot of Delectable toppings and cheese. The base was regular making it crisp and simple. "
