,TOS - Take Off Scarlet
127,"Over hyped place completely. It's not that big. Music is average. Went there on NYE and they made us on terrace, it was too cold that night. No one was bothered to serve food and absolute mismanagement!"
128,"This place has got a very beautiful terrace with has a sitting area. Also a floor that is club with an amazing DJ. The rate for food is not worth paying off.Service - 1/5Staff -3/5DJ -5/5food -3/5 .We had chilli noodles, white sauce veg pasta , chilli potato, chilli panner, premium beer, sheesha.They have got a worst service. Better to visit other places rather than wasting your time here.Also they did not provide a printed bill to you .. they ask you to pay before eating... quite disappointing."
129,"ToS has a great ambience and great music. The dhols are a plus. The food is really great and the presentation is good. We tried Makhani pasta, crispy fried corn and pizzas. Everything was tasty at a great price."
130,I went to this place .The food was not up to the mark first of all .The service was so slow .They were not interested to attend us as well .Very disappointed from this place .I have heard a lot about this place and i didn't find it good .Needs a lot of improvement.
131,"This place is located in punjabi bagh. I went here for my birthday. Perfect place for winter evening, amazing vibes. The ambiance was so soothing. The staff was helpful and very polite. Food was really delicious. We loved it. Everything was perfect. It is 5/5 place. Must try."
132,The quantity of starters and dishes is very very less.It should be three times the amount they give.That means you're giving huge amount for only One-Third portion.So you must keep that in mind before visit.
133,It was a great experience of dj in daytime. Good dj and dhol which was cherry on top.
134,A visited this place few days ago..Great ambience with loud disco music..A nice place to hangout with friends..I ordered a white sause pasta..It was deliciousRecommend😍
135,This is a very beautiful place with rooftop ambience and DJ and Dhol is really nice there. The staff is really patient.
136,"We visited this place on a Sunday night which is located in punjabi bagh. The ambience to the service to the food, everything is awesome.The decor of the restaurant makes a good settings. The place have good vibe and they also have an open bar. The service is very good here, we were served by manager who was prompt and attentive. Coming to the food, they have so many options to choose from, it takes quite some time to decide. Whatever you order will not disappoint. Everything we tried was great."
137,"Briyani had very thick rice which felt greasy while peri peri fries were very thin and oily. Didn’t like the food here.Although they have great offers on drinks and the staff is good, food isn’t upto the mark."
138,"Recently visited this cafe they have lovely ambience & they have two floors with terrace also music was good .I had chicken galafi seekh, crunchy cornmeal fried chicken, chicken wings which were unique and delicious etc..Staff were polite and helpfullittle disappointed wih delay service"
139,"Food was average, just Okay. Shitty place. Never suggest anyone to go here. pathetic staff i would say. they were too slow with the orders.👎"
140,"Ome of the oldest outlet in punjabi bagh club roadThe food here is goodPrices are a bit high according to the ambienceBut service here can be improvedMusic and all is good , they have a good terrace tooSheesha rates are a bit highRest its a good place and I will suggest all the veg items are superbAvoid chicken here"
141,"I visited the place on 24th October, the place was nice, the place was recommended by my friend who gave a good feedback about the food, ambience and services they. But, when we went there the major disappointment was the service. They delayed every order and had to remind again and again. The food was nice. But, as a consumer the service is also the important aspect we look for while choosing as place other than food.Me and my friends were disappointed and the time we planned at the place was extended because of which our next place where we planned to go was cancelled.My expectations in the future would be regarding services, which need to be bettered. Other than everything was nice. "
